"","1.1","1.2","1.3","1.4","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4","4.1","4.2","4.3","4.4","5.1","5.2","5.3","5.4","6.1","6.2","6.3","6.4","7.1","7.2","7.3","7.4","8.1","8.2","8.3","8.4","9.1","9.2","9.3","9.4","10.1","10.2","10.3","10.4","11.1","11.2","11.3","11.4","12.1","12.2","12.3","12.4"
"Black-bellied Whistling-Duck",0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0.0015,0,0,0.0015,0,0.0015,0.0241935483870968,0,0.027027027027027,0.0112359550561798,0.0454545454545455,0.0238095238095238,0,0.0277777777777778,0.0015,0.0015,0.05,0.0714285714285714,0,0.0015,0.0357142857142857,0,0.0015,0,0,0,0.0882352941176471,0,0,0,0,0,0,0,0
"Greater White-fronted Goose",0.0015,0.0344827586206897,0,0.0015,0.0476190476190476,0,0.032258064516129,0.117647058823529,0.0384615384615385,0.024390243902439,0.0333333333333333,0.0169491525423729,0.0222222222222222,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0.1,0,0,0,0,0.130434782608696,0,0
"Snow Goose",0.0666666666666667,0,0.130434782608696,0.0294117647058824,0.0476190476190476,0.0384615384615385,0.0645161290322581,0.176470588235294,0.0384615384615385,0.0487804878048781,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0015,0,0,0.0285714285714286,0.217391304347826,0.037037037037037,0.0212765957446809
"Ross's Goose",0.0333333333333333,0,0.0217391304347826,0,0,0.0015,0.032258064516129,0.0588235294117647,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0.130434782608696,0.0015,0.0425531914893617
"Cackling Goose",0.0666666666666667,0.0344827586206897,0.0217391304347826,0.0294117647058824,0,0.115384615384615,0.0015,0.0294117647058824,0,0.024390243902439,0,0.0169491525423729,0,0,0,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.0869565217391304,0,0.0212765957446809
"Canada Goose",0.433333333333333,0.241379310344828,0.391304347826087,0.147058823529412,0.333333333333333,0.307692307692308,0.354838709677419,0.323529411764706,0.5,0.341463414634146,0.366666666666667,0.271186440677966,0.244444444444444,0.263157894736842,0.352941176470588,0.381818181818182,0.28125,0.18,0.192307692307692,0.032258064516129,0.0588235294117647,0.108108108108108,0.0224719101123595,0.0454545454545455,0.0238095238095238,0.0277777777777778,0.111111111111111,0.325581395348837,0.130434782608696,0.2,0.0714285714285714,0.130434782608696,0.285714285714286,0.107142857142857,0.230769230769231,0.181818181818182,0,0.25,0.2,0.176470588235294,0.4,0.0769230769230769,0.25,0.294117647058824,0.171428571428571,0.260869565217391,0.222222222222222,0.340425531914894
"Trumpeter Swan",0,0,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0
"Tundra Swan",0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muscovy Duck (Domestic type)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0
